"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept",1.05837835532785,0.155257472281402,0.750891743700418,1.36447457203005,1.00157076795304,3760.09938854487,6661.7923747726
"OrderLowMHigh",0.167803737339649,0.108155443932347,-0.043500337150031,0.378117143735462,1.00041024788087,14245.5816344644,12127.0665078397
"ParenthesisYes",0.240729617168837,0.108182374657257,0.025952857132836,0.450039755654166,1.00005252058191,15742.5201753691,12609.1988665353
"OrderLowMHigh:ParenthesisYes",-0.236306430041345,0.136382591053334,-0.505690503147328,0.0314400411419482,0.999840552319982,15392.9753184328,12135.1752160767
