"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept",0.859165961964524,0.123752660319553,0.617124883390872,1.10262391140468,1.00014011258811,3382.30074348143,6926.18877782043
"OrderLowMHigh",0.051657421285665,0.0863313871602253,-0.114812908700186,0.222215222664087,1.00010716404735,15387.8273391195,13075.5090740373
"ParenthesisYes",-0.0330053746045715,0.0930101356777862,-0.216934626563432,0.149045799594423,0.999957997160704,12999.4490307477,11855.6817319016
"OrderLowMHigh:ParenthesisYes",0.131462754237811,0.117507826962461,-0.0968586672775914,0.36277500251212,1.00000802660212,13976.5897225274,13060.3968642843
