"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept",0.904869825682272,0.121051705670778,0.672186120983103,1.1419621958013,1.00060367210059,2301.71381979152,4475.65162991603
"OrderHighMLow",-0.0511132068259323,0.112026773572055,-0.276247268619314,0.168942201015474,1.00031463421661,6960.48868793555,7653.12912554472
"ParenthesisYes",0.0999070643722625,0.113137286323542,-0.127856990254087,0.317270829767588,1.00041237032715,6984.54948529607,7284.48059007269
"OrderHighMLow:ParenthesisYes",-0.133931684920258,0.173374170567207,-0.474979793174361,0.209492545923303,1.00103268175598,6517.73177721169,7313.67289467405
