"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept",1.18009027893786,0.141767414792949,0.904309070227079,1.45670164866587,1.00060793131676,2407.18046002702,4666.59877072203
"OrderLowMHigh",0.047692120830951,0.0768732781484908,-0.102411347081223,0.197163330756574,1.00005344049001,15994.3057548521,12119.562599515
"OrderHigh",1.21235866114042,0.198832993889243,0.820700025298776,1.60523621670104,1.0002622427048,7076.96652381205,9417.22266890529
"OrderLow",-0.340275567311248,0.0826932617803468,-0.501507196391393,-0.175978577340486,1.00000910950034,8483.61852667924,11280.5206949375
