"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept",0.881292984846638,0.153705477142889,0.583306656717702,1.19288524128624,1.00038518763034,2481.18284221123,4458.03430323366
"conditionlowhigh",-0.267104721181691,0.15542196217308,-0.575857412332475,0.0338101060303607,1.00024997973755,4514.58892063907,6251.68379909464
