"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept",2.67207627078213,0.226869043600144,2.22002139786767,3.11634518307138,1.00270522346357,1785.9705916315,3339.30055769993
"OrderLow",-2.1484601920512,0.218690217759732,-2.57597161015802,-1.71740330127811,1.00214125496922,2188.14987054336,4232.24884899638
"ParenthesisYes",-0.468540631082869,0.250925814676449,-0.970179706343011,0.0260270661982871,1.00132741699459,2461.7703186989,4044.33795994685
"OrderLow:ParenthesisYes",0.904360065378357,0.283261869110616,0.347218233592949,1.47791963408243,1.00104089198036,2535.14133141675,3859.60481882886
