"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept",0.907740164565214,0.111727788071163,0.686690258724959,1.12926205072361,1.00217452936462,2498.1790178539,4855.38289173549
"OrderHighMLow",-0.0518393833556805,0.100791839073575,-0.244282289449451,0.146178149596095,1.00000040427311,9208.63107635544,7695.78964612516
"OrderHigh",1.7581984477203,0.2258423479466,1.31643726123034,2.19591560219695,1.00027502597616,6220.73634351441,6695.27796687564
"OrderLow",-0.384420346054829,0.0990289824550809,-0.575257840720744,-0.188997941154631,1.00005333422585,9355.9688898877,7936.41297171624
"ParenthesisYes",0.0992300357235826,0.105667950767358,-0.112535091074,0.305189383301086,1.00005828315361,8221.91271806623,7566.74555797633
"OrderHighMLow:ParenthesisYes",-0.130276699121747,0.16435099651279,-0.45480002946421,0.191785249492978,1.00015487890491,8302.23287580355,7146.97336206585
"OrderHigh:ParenthesisYes",-0.565024834778174,0.286202471480477,-1.13436718900523,-0.014358308051973,1.00039058359481,7220.48631600927,7266.76638133011
"OrderLow:ParenthesisYes",0.333455539870306,0.161688196813457,0.0190535519325796,0.661755695398571,1.00034627899747,8601.49456603766,7361.5260616313
