"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept",0.711741482754067,0.107147845964381,0.499684727813922,0.920474164305221,1.00027040780359,5416.91747598706,7224.26445618861
"OrderHigh",1.93557201043272,0.251296871492969,1.4492790136952,2.43529133408441,1.00117956091731,4494.99666834888,6182.70382257332
"ParenthesisYes",0.260126165270539,0.112772484425563,0.0352364714171294,0.481518122884943,1.00027668258093,12668.8634854461,7868.07577075957
"OrderHigh:ParenthesisYes",-0.764648061272934,0.317786540212733,-1.39671307315034,-0.141191214722208,1.00056049072304,5774.59437729189,6715.89699694427
