"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept",1.22487092572635,0.144498145234275,0.940500981834011,1.51436500376459,1.00177338021148,1971.90444098692,4338.37416317817
"OrderHighMLow",-0.166662786568803,0.147224909753016,-0.452763308700677,0.123526189928516,1.00051097805929,5094.64987865533,6942.03962364736
"OrderHigh",1.41714738258313,0.253224012058975,0.922721711557902,1.9217472352301,1.00185721103904,4666.07853423485,5307.55471986567
"OrderLow",-0.516310760893587,0.139167405787616,-0.790785159562397,-0.245131988280202,1.00054095726719,5330.77730348476,6594.16938106616
"ParenthesisYes",0.00444305851359175,0.139948104842532,-0.271788341223761,0.280762056338464,1.00046435780642,4044.65633905699,5821.44642294699
"OrderHighMLow:ParenthesisYes",0.236305634081584,0.215013495322177,-0.18940573538443,0.653976087885879,1.0001037494627,4832.87165553509,7299.43100473743
"OrderHigh:ParenthesisYes",-0.503859213557712,0.321749560133485,-1.13497542574114,0.122583686451972,1.00161976672716,4470.07966466681,5686.02521208006
"OrderLow:ParenthesisYes",0.256024671650761,0.191089685246913,-0.114566397985502,0.625251737423264,1.00038126264727,4659.7883582031,5681.74298883351
