"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept",0.84075138928492,0.116518643929442,0.614686298223258,1.06952769675393,1.0010667432205,4464.86478844145,8136.48580328024
"OrderLowMHigh",0.118050947910006,0.0683586667084434,-0.0172437921241526,0.253469828280138,1.00020012197782,25231.1352559844,12129.9050493583
"OrderHigh",1.59700504649575,0.179094994604837,1.24612576557386,1.9473727046603,1.00016723149856,14393.0992457451,12748.9310014501
"OrderLow",-0.0995874638555441,0.0774460626508892,-0.252081384616331,0.0525345022754151,1.00010080012984,21947.9654217469,13014.0558938117
