"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept",0.956370352098408,0.115327775167415,0.731191069439586,1.18238156272972,1.00090341307993,3902.35832684988,7524.8182294087
"OrderHighMLow",-0.118333343215034,0.0700629545653522,-0.25707111484725,0.0180967256369532,1.00016060359753,22742.6541504091,18267.1693867559
"OrderHigh",1.47471535425272,0.190375726307264,1.09706265112827,1.84862509516269,1.00039069730344,12005.8063532338,13834.2340618023
"OrderLow",-0.217802965796025,0.0714235871581575,-0.357722414972054,-0.0776742906721814,1.0000544453703,23591.7845896358,18324.7027216985
