"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept",5.31095869360829,0.685734775812335,4.14346098943213,6.77562207355399,1.00033307926582,4181.03856951842,5517.0907874801
"conditionlow",-5.05514090253705,0.746727008084126,-6.64543543810699,-3.70957650493279,1.00040730181939,4661.98368506871,6339.4419342999
