"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept",1.22739951404305,0.158007981163712,0.919829572344423,1.53587088323649,1.00172345738605,1813.26272786441,3321.4862810797
"OrderHighMLow",-0.166600429323738,0.154338241659402,-0.469972176730321,0.137944580789657,1.00117054720181,3842.49143732468,5959.86233318421
"ParenthesisYes",0.00384095975053443,0.154128056869697,-0.301458736579675,0.301800395094781,1.00123637248008,3590.41091443793,5606.66703743353
"OrderHighMLow:ParenthesisYes",0.237498131127249,0.221705801482788,-0.191453771208493,0.675178799908208,1.0019199467619,3783.34505439613,5764.67515348145
