"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept",2.6496550386169,0.234405547930836,2.18924849197246,3.10698285885665,1.00109721791034,2306.68507649886,3928.10215109089
"OrderLow",-1.93670870977699,0.243341039060432,-2.41686363684211,-1.45456417203361,1.00108413301551,2557.40399653257,3978.19002083509
"ParenthesisYes",-0.510615579759565,0.281786158328242,-1.05903338973053,0.0354870550251957,1.00265989308289,2327.1278270949,4332.77620872809
"OrderLow:ParenthesisYes",0.771106906983783,0.30692131324054,0.178917743184472,1.36938663399783,1.00193297496914,2556.12354812781,4420.00361178104
