"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept",1.05897017549452,0.140834845822693,0.779237377039312,1.33591417245229,1.00220755540716,1901.71415176234,4193.68355833911
"OrderLowMHigh",0.166349921815215,0.150887389476491,-0.126121459747475,0.463044987111126,0.99993733409863,5734.85898583904,6782.49191125161
"OrderHigh",1.58252385035433,0.250862396509259,1.089383491757,2.08018824391807,1.00036755145125,4498.8487477265,6471.61883300118
"OrderLow",-0.349572572322345,0.140613520007491,-0.627606290757087,-0.0758993895782457,1.00014761753958,5207.06388412024,6535.00038180683
"ParenthesisYes",0.239833123890335,0.143883717059319,-0.0401133299815147,0.521448718364346,1.00031315867992,4611.93774920075,6581.92957319892
"OrderLowMHigh:ParenthesisYes",-0.235009733572087,0.211762473669766,-0.656273707869147,0.181196253404344,1.00012339033191,5337.25474564851,7129.2492188994
"OrderHigh:ParenthesisYes",-0.743254638986234,0.320231697855547,-1.3688625151493,-0.10963344844092,1.00018018296697,4915.08258485703,6631.38356089798
"OrderLow:ParenthesisYes",0.0194166337757545,0.19455113014951,-0.366825348243946,0.398865419178534,1.00007569890212,5313.09501117304,6690.5503782901
