"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept",1.23163353840828,0.135011648200866,0.967828642581061,1.49447043242593,1.00094616148235,3847.65898413071,7352.52547014161
"OrderHighMLow",-0.0491609946281023,0.0796139771537512,-0.206871148824999,0.107661509072939,1.0006180452707,19891.1255246451,13272.4448293326
"OrderHigh",1.16839940878018,0.196953271746465,0.776355585487488,1.55188968812775,1.00020328030248,10543.206944936,11055.2197297774
"OrderLow",-0.389114113013838,0.0802044491930962,-0.546972342599659,-0.231689941832461,1.00024992314013,13980.4895917034,13255.9271208195
