"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept",0.52281740626683,0.105007528462009,0.316526813823074,0.727942232298048,1.00009203123046,4685.7270199752,7114.30899921468
"OrderHigh",2.13881291977649,0.230659815573694,1.69191716307763,2.58951271201058,1.00090390122388,3783.05462211494,5342.84700670345
"ParenthesisYes",0.434820549078476,0.120660530175466,0.197544851725184,0.673704191254333,1.00016924610102,9617.35001522438,7614.63345807186
"OrderHigh:ParenthesisYes",-0.892976059951866,0.292063172844649,-1.46393133436779,-0.312829690134974,1.00059765068252,4446.32776987423,6116.61288621466
