"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept",0.858090746620719,0.112189430634306,0.63653205317929,1.0770486951932,1.00211501491089,1952.54849814858,3904.93253854918
"OrderLowMHigh",0.0519648408128701,0.10343025767622,-0.152107943618496,0.256146119659289,1.00000377203149,6051.35480975878,7390.80988317044
"OrderHigh",1.81179064210058,0.225902154221214,1.37197736274465,2.25561532384694,1.00027199035602,4139.75186475705,5724.78507633142
"OrderLow",-0.334428774203799,0.0984422416922738,-0.525078172499457,-0.139435020147359,1.00077234325683,6224.0473454886,7516.21596005819
"ParenthesisYes",-0.0311569446920607,0.114099353330622,-0.253204538972459,0.192104526397891,1.00031154300522,4861.65427196541,6381.59487332295
"OrderLowMHigh:ParenthesisYes",0.13054654241864,0.164095695348066,-0.190886932343712,0.455732937540352,1.00043781179258,4949.55574203217,6611.60476572202
"OrderHigh:ParenthesisYes",-0.433736291407555,0.293545089485973,-1.00775883539146,0.148722903106419,1.00095162222575,4613.39474325955,6256.52060983403
"OrderLow:ParenthesisYes",0.466642315651875,0.164697340586868,0.14440369727646,0.794748077057278,1.00024232309104,5343.91011951091,6527.27882080059
